epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
130,2426.98,1.94833,1.05684,0.00217,0.71412,0.52966,0.59176,0.32119,1.97221,1.22537,0.00321,0.0011486,0.0011486,0.0011486
131,2445.31,1.92752,1.04844,0.00221,0.71791,0.52458,0.59316,0.3258,1.96129,1.1937,0.00319,0.001142,0.001142,0.001142
132,2464.29,1.97221,1.06156,0.00214,0.71144,0.5301,0.58797,0.32105,1.97916,1.22614,0.00322,0.0011354,0.0011354,0.0011354
133,2482.64,1.93836,1.04834,0.00218,0.7227,0.515,0.5868,0.32331,1.9853,1.22034,0.00322,0.0011288,0.0011288,0.0011288
134,2501.12,1.95448,1.05028,0.00217,0.7299,0.51864,0.59294,0.32621,1.95499,1.19719,0.00317,0.0011222,0.0011222,0.0011222
135,2519.93,1.96021,1.04914,0.00217,0.73032,0.51892,0.59188,0.32342,1.96003,1.23387,0.00319,0.0011156,0.0011156,0.0011156
136,2538.66,1.96067,1.05253,0.00218,0.71917,0.51626,0.58725,0.31955,1.98818,1.21921,0.00327,0.001109,0.001109,0.001109
137,2556.88,1.94285,1.05264,0.00219,0.71965,0.51955,0.59133,0.3261,1.97482,1.18909,0.00322,0.0011024,0.0011024,0.0011024
138,2575.25,1.92591,1.04114,0.00217,0.72743,0.50718,0.57783,0.31261,2.00972,1.21808,0.00325,0.0010958,0.0010958,0.0010958
139,2593.98,1.92174,1.04076,0.00216,0.73399,0.52394,0.59603,0.3277,1.9765,1.18607,0.00322,0.0010892,0.0010892,0.0010892
140,2612.55,1.93937,1.03434,0.0021,0.73163,0.51626,0.58791,0.32133,1.98223,1.20546,0.00324,0.0010826,0.0010826,0.0010826
141,2631.1,1.93012,1.03187,0.00214,0.72768,0.52042,0.59167,0.32247,1.97302,1.22357,0.00324,0.001076,0.001076,0.001076
142,2650.15,1.9472,1.0476,0.00216,0.70938,0.52568,0.59097,0.32659,1.96259,1.19963,0.00319,0.0010694,0.0010694,0.0010694
143,2668.45,1.92819,1.0412,0.00216,0.72673,0.51959,0.58741,0.32238,1.98744,1.18083,0.00324,0.0010628,0.0010628,0.0010628
144,2687.27,1.95568,1.04902,0.00215,0.71606,0.52285,0.58962,0.32399,1.95997,1.20704,0.00321,0.0010562,0.0010562,0.0010562
145,2705.62,1.92285,1.02958,0.00215,0.72934,0.5227,0.59321,0.32461,1.96032,1.21019,0.00319,0.0010496,0.0010496,0.0010496
146,2724.31,1.93519,1.03378,0.00214,0.7274,0.52772,0.59394,0.32465,1.97218,1.18749,0.00323,0.001043,0.001043,0.001043
147,2742.65,1.91251,1.02877,0.00214,0.71615,0.52568,0.59255,0.32499,1.96859,1.22018,0.00322,0.0010364,0.0010364,0.0010364
148,2761.16,1.93434,1.03002,0.00217,0.72497,0.51377,0.58348,0.31787,1.98846,1.24122,0.00325,0.0010298,0.0010298,0.0010298
149,2779.8,1.93465,1.03311,0.00213,0.72778,0.51531,0.58692,0.32343,1.97552,1.21219,0.00325,0.0010232,0.0010232,0.0010232
150,2798.34,1.91354,1.02147,0.00215,0.72539,0.51751,0.5892,0.31787,2.01641,1.21128,0.00332,0.0010166,0.0010166,0.0010166
151,2817.08,1.95302,1.04307,0.00216,0.74253,0.52181,0.59614,0.32813,1.9681,1.20456,0.0032,0.00101,0.00101,0.00101
152,2835.65,1.91109,1.01797,0.00214,0.72139,0.53275,0.59807,0.33155,1.95801,1.19439,0.00315,0.0010034,0.0010034,0.0010034
153,2853.77,1.90622,1.00982,0.0021,0.72125,0.53399,0.59543,0.3282,1.96575,1.18229,0.0032,0.0009968,0.0009968,0.0009968
154,2871.82,1.93734,1.04421,0.00218,0.72506,0.51626,0.58324,0.31442,1.99111,1.22432,0.00323,0.0009902,0.0009902,0.0009902
155,2889.85,1.90697,1.02623,0.00213,0.73218,0.52213,0.59374,0.32726,1.95373,1.21121,0.00319,0.0009836,0.0009836,0.0009836
156,2908.11,1.91997,1.01994,0.00211,0.71839,0.53055,0.59447,0.32403,1.98729,1.20965,0.00326,0.000977,0.000977,0.000977
157,2926.3,1.89578,1.0184,0.00212,0.7283,0.53089,0.59996,0.33071,1.95838,1.19361,0.00319,0.0009704,0.0009704,0.0009704
158,2944.9,1.94733,1.04638,0.00215,0.73618,0.5172,0.59065,0.32337,1.97528,1.19733,0.00322,0.0009638,0.0009638,0.0009638
159,2963.91,1.91467,1.00983,0.0021,0.74647,0.52081,0.59473,0.32274,1.99375,1.19995,0.00325,0.0009572,0.0009572,0.0009572
160,2982.48,1.90159,1.00791,0.00209,0.71972,0.52537,0.59431,0.32531,1.98166,1.19794,0.00324,0.0009506,0.0009506,0.0009506
161,3000.97,1.91515,1.01684,0.00214,0.73786,0.5216,0.59609,0.3278,1.9591,1.20512,0.00321,0.000944,0.000944,0.000944
162,3019.7,1.91564,1.00879,0.00211,0.73039,0.52003,0.59305,0.32611,1.97133,1.19089,0.0032,0.0009374,0.0009374,0.0009374
163,3038.47,1.9046,1.01177,0.00207,0.72738,0.52898,0.59583,0.3247,1.96884,1.20727,0.00322,0.0009308,0.0009308,0.0009308
164,3056.74,1.89281,1.00889,0.00213,0.73485,0.52097,0.59566,0.32706,1.96416,1.19978,0.0032,0.0009242,0.0009242,0.0009242
165,3075.51,1.90921,1.00941,0.0021,0.73647,0.51421,0.59339,0.32609,1.96646,1.20219,0.00323,0.0009176,0.0009176,0.0009176
166,3094.06,1.90752,1.01087,0.00214,0.74334,0.50856,0.58851,0.32228,1.98225,1.21237,0.0032,0.000911,0.000911,0.000911
167,3112.94,1.90749,1.01531,0.00209,0.71983,0.52709,0.59183,0.32641,1.98003,1.21889,0.00321,0.0009044,0.0009044,0.0009044
168,3131.33,1.87343,1.00839,0.00212,0.7246,0.52895,0.59856,0.32715,1.9751,1.19533,0.00323,0.0008978,0.0008978,0.0008978
169,3150.54,1.90223,0.998,0.00206,0.73067,0.53008,0.59976,0.3268,1.97241,1.21018,0.0032,0.0008912,0.0008912,0.0008912
170,3169.67,1.92893,1.01904,0.0021,0.74598,0.51861,0.59531,0.32874,1.9594,1.19392,0.00321,0.0008846,0.0008846,0.0008846
171,3188.55,1.86954,0.98291,0.00208,0.73349,0.52442,0.59407,0.32861,1.98182,1.18585,0.00323,0.000878,0.000878,0.000878
172,3207.47,1.87464,0.99874,0.0021,0.73158,0.5278,0.5982,0.32957,1.97213,1.2048,0.00321,0.0008714,0.0008714,0.0008714
